rank;title;Previous Rank;Revenues ($M);Revenue Change(%);Profits ($M);Profit Change(%);Assets ($M);Mkt Value as of 3/29/18 ($M);Employees;CEO;CEO Title;Sector;Industry;Years on Fortune 500 List;City;State;Latitude;Longitude
574;CACI International;615;4355;16,3;163,7;14,6;3911;3727;186;Kenneth Asbury;President, Chief Executive Officer &  Director;Technology;Information Technology Services;0;Arlington;VA;38.8816208;-77.0909809
575;Watsco;574;4342;2,9;208,2;13,9;2047;6752;52;Albert H. Nahmad;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;0;Miami;FL;25.7616798;-80.1917902
576;Coca-Cola Bottling;701;4324;37;96,5;92,5;3073;1615;155;J. Frank Harrison III;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Beverages;0;Charlotte;NC;35.2270869;-80.8431267
577;Welltower;564;4317;0,8;522,8;-51,5;27944;20246;392;Thomas J. DeRosa;Chairman &  Chief Executive Officer;Financials;Real estate;0;Toledo;OH;41.6528052;-83.5378674
578;ADT;;4316;46,3;342,6;0;17015;5941;18;Timothy J. Whall;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;0;Boca Raton;FL;26.3683064;-80.1289321
579;Ametek;604;43;12;681,5;33,1;7796;1759;169;David A. Zapico;Chairman &  Chief Executive Officer;Technology;Scientific,Photographic and  Control Equipment;0;Berwyn;PA;40.045824;-75.4395931
580;CNO Financial Group;590;4297;7,8;175,6;-51;3311;363;33;Gary C. Bhojwani;Chairman &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);0;Carmel;IN;39.978371;-86.1180435
581;Camping World Holdings;648;4285;21,8;28,4;-85,2;2562;3084;10227;Marcus A. Lemonis;Chairman &  Chief Executive Officer;Retailing;Automotive Retailing, Services;0;Lincolnshire;IL;42.1900249;-87.9084039
582;LPL Financial Holdings;584;4282;5,7;238,9;24,5;5359;551;3736;Dan H. Arnold;President, Chief Executive Officer &  Director;Financials;Securities;0;Boston;MA;42.3600825;-71.0588801
583;Noble Energy;653;4256;21,9;-1118;0;21476;14913;2277;David L. Stover;Chairman, President &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Houston;TX;29.7604267;-95.3698028
584;Bloomin Brands;568;4213;-0,9;100,2;140,1;2573;2256;94;Elizabeth A. Smith;Chairman, President &  Chief Executive Officer;Hotels, Restaurants &  Leisure;Food Services;0;Tampa;FL;27.950575;-82.4571776
585;Moodys;631;4204;16,6;1000,6;275,3;8594;30826;11896;Raymond W. McDaniel Jr.;President, Chief Executive Officer &  Director;Business Services;Financial Data Services;0;New York;NY;40.7127753;-74.0059728
586;Symantec;465;4191;-24,7;-106;-104,3;18174;16067;13;Gregory S. Clark;Chairman &  Chief Executive Officer;Technology;Computer Software;0;Mountain View;CA;37.3860517;-122.0838511
587;Amkor Technology;600;4187;7,5;260,7;58,8;4522;2425;293;Stephen D. Kelley;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Tempe;AZ;33.4255104;-111.9400054
588;Skechers U.S.A.;638;4181;16,9;179,2;-26,4;2735;6231;815;Robert Greenberg;Chairman &  Chief Executive Officer;Apparel;Apparel;0;Manhattan Beach;CA;33.8847361;-118.4109089
589;KBR;567;4171;-2,3;434;0;3674;2271;20;Stuart Bradie;President, Chief Executive Officer &  Director;Engineering &  Construction;Engineering, Construction;0;Houston;TX;29.7604267;-95.3698028
590;Tiffany;588;417;4,2;370,1;-17;5468;12149;131;Alessandro Bogliolo;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Other;0;New York;NY;40.7127753;-74.0059728
591;Torchmark;580;4156;0;1454,5;164,6;23475;9583;3102;Gary L. Coleman/Larry M. Hutchison;Co-Chairman &  Co-Chief Executive Officer;Financials;Insurance: Life, Health (stock);0;McKinney;TX;33.1972465;-96.6397822
592;Broadridge Financial Solutions;749;4143;43;326,8;6,3;315;12796;10;Richard J. Daly;Chairman &  Chief Executive Officer;Business Services;Financial Data Services;0;Lake Success;NY;40.7706572;-73.7176312
593;Quad/Graphics;560;4131,4;-4,6;107,2;138,8;2452,4;1336;21100;J. Joel Quadracci;Chairman, President &  Chief Executive Officer;Media;Publishing, Printing;0;Sussex;WI;43.13418;-88.22294
594;CF Industries Holdings;622;413;12,1;357,7;0;13463;8805;295;W. Anthony Will;President, Chief Executive Officer &  Director;Chemicals;Chemicals;0;Deerfield;IL;42.1711365;-87.8445119
595;Carlisle;623;409;11,3;365,5;46,1;53;6408;148;D. Christian Koch;President, Chief Executive Officer &  Director;Materials;Building Materials, Glass;0;Scottsdale;AZ;33.4941704;-111.9260519
596;Silgan Holdings;629;409;13,2;269,7;75,8;4645;3074;12515;Anthony J. Allott;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;0;Stamford;CT;41.0534302;-73.5387341
597;Bemis;587;4046;1;94;-60,2;37;4002;16582;William F. Austen;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;0;Neenah;WI;44.1858193;-88.462609
598;CA;583;4036;-0,4;775;-1;1261;14134;118;Michael P. Gregoire;Chairman &  Chief Executive Officer;Technology;Computer Software;0;New York;NY;40.7127753;-74.0059728
599;Hub Group;640;4035;12,9;135,2;80,7;1671;1439;4377;David P. Yeager;Chairman &  Chief Executive Officer;Transportation;Transportation and Logistics;0;Oak Brook;IL;41.8397865;-87.9535534
600;Worldpay;637;4027;12,5;130,1;-39;8667;25915;356;Charles D. Drucker/Philip E.R. Jansen;Chairman &  Co-Chief Executive Officer;Business Services;Financial Data Services;0;Cincinnati;OH;39.2807348;-84.3173878
601;Ingles Markets;608;4003;5,5;53,9;-0,6;1733;686;1725;James W. Lanning;President, Chief Executive Officer &  Director;Food &  Drug Stores;Food and Drug Stores;0;Black Mountain;NC;35.6178951;-82.3212302
602;Snap-on;618;4;7,8;557,7;2,1;5249;8367;126;Nicholas T. Pinchuk;Chairman, President &  Chief Executive Officer;Industrials;Industrial Machinery;0;Kenosha;WI;42.5847425;-87.8211854
603;Dentsply Sirona;614;3993;6,6;-1550;-460,5;10375;11439;161;Donald M. Casey Jr.;Chairman &  Chief Executive Officer;Health Care;Medical Products and Equipment;0;York;PA;39.9625984;-76.727745
604;Calumet Specialty Products;632;3992;10,9;-103,8;0;2689;541;16;Timothy Go;Chief Executive Officer;Energy;Petroleum Refining;0;Indianapolis;IN;39.768403;-86.158068
605;Global Payments;669;3975;17,9;468,4;132,2;12998;17789;10;Jeffrey S. Sloan;Chairman &  Chief Executive Officer;Business Services;Financial Data Services;0;Atlanta;GA;33.7489954;-84.3879824
606;Encompass Health;619;3971,4;7,1;256,3;3,5;4893,7;5611;30935;Mark J. Tarr;President, Chief Executive Officer &  Director;Health Care;Health Care: Medical Facilities;0;Birmingham;AL;33.5206608;-86.80249
607;Martin Marietta Materials;607;3966;3,8;713,3;67,7;8993;13019;8406;C. Howard Nye;Chairman, President &  Chief Executive Officer;Materials;Building Materials, Glass;0;Raleigh;NC;35.7795897;-78.6381787
608;Nasdaq;620;3965;7;734;579,6;15786;14361;4734;Adena T. Friedman;President, Chief Executive Officer &  Director;Financials;Securities;0;New York;NY;40.7127753;-74.0059728
609;Leggett & Platt;613;3944;5,2;292,6;-24,2;3551;5842;222;Karl G. Glassman;President, Chief Executive Officer &  Director;Household Products;Home Equipment, Furnishings;0;Carthage;MO;37.176447;-94.3102228
610;Universal Forest Products;687;3941;21,6;119,5;18,1;1465;1986;10;Matthew J. Missad;Chairman &  Chief Executive Officer;Materials;Building Materials, Glass;0;Grand Rapids;MI;42.9633599;-85.6680863
611;Sally Beauty Holdings;592;3938;-0,4;215,1;-3,5;2123;2058;21755;Christian A. Brickman;President, Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;0;Denton;TX;33.2148412;-97.1330683
612;Flowers Foods;594;3921;-0,2;150,1;-8,3;266;4604;98;Allen L. Shiver;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Consumer Products;0;Thomasville;GA;30.8365815;-83.9787808
613;Barnes & Noble;555;3895;-11,5;22;0;1933;360;18592;Demos Parneros;Chief Executive Officer &  Director;Retailing;Specialty Retailers: Other;0;New York;NY;40.7127753;-74.0059728
614;American Equity Investment Life;883;3892;75,3;174,6;109,8;62031;2639;515;John M. Matovina;Chairman, President &  Chief Executive Officer;Financials;Insurance: Life, Health (stock);0;West Des Moines;IA;41.5772115;-93.711332
615;Vulcan Materials;635;389;8,3;601,2;43,3;9505;1511;8287;J. Thomas Hill;Chairman, President &  Chief Executive Officer;Materials;Building Materials, Glass;0;Birmingham;AL;33.5206608;-86.80249
616;Taylor Morrison Home;644;3885;9,4;91,2;73,4;4326;261;18;Sheryl D. Palmer;Chairman, President &  Chief Executive Officer;Engineering &  Construction;Homebuilders;0;Scottsdale;AZ;33.4941704;-111.9260519
617;Westinghouse Air Brake;742;3882;32,4;262,3;-14;658;7822;18;Raymond T. Betler;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Wilmerding;PA;40.3909023;-79.8100472
618;Crestwood Equity Partners;805;3881;54;-191,9;0;4285;1824;954;Robert G Phillips;Chairman, President &  Chief Executive Officer;Energy;Energy;0;Houston;TX;29.7604267;-95.3698028
619;Iron Mountain;649;3846;9,1;183,8;75,4;10972;9375;24;William L. Meaney;President, Chief Executive Officer &  Director;Business Services;Diversified Outsourcing Services;0;Boston;MA;42.3600825;-71.0588801
620;Lennox International;627;384;5,4;305,7;10;1892;8415;1145;Todd M. Bluedorn;Chairman &  Chief Executive Officer;Industrials;Industrial Machinery;0;Richardson;TX;32.9483335;-96.7298519
621;General Cable;603;3837;-0,5;-56,6;0;2235;1499;85;Massimo Battaini;President, Chief Executive Officer &  Director;Industrials;Electronics, Electrical Equip.;0;Highland Heights;KY;39.0331169;-84.4518854
622;American Eagle Outfitters;630;3796;5,1;204,2;-3,9;1816;354;241;Jay L. Schottenstein;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;Pittsburgh;PA;40.4406248;-79.9958864
623;Church & Dwight;652;3776;8,1;743,4;62;6015;12294;47;Matthew T. Farrell;President, Chief Executive Officer &  Director;Household Products;Household and Personal Products;0;Ewing Township;NJ;40.2599864;-74.7909125
624;Platform Specialty Products;636;3776;5,3;-296,2;0;10252;2774;785;Rakesh Sachdev;Chief Executive Officer &  Director;Chemicals;Chemicals;0;West Palm Beach;FL;26.7153424;-80.0533746
625;JELD-WEN Holding;;3764;2,4;10,8;-97,1;2863;3257;21;Gary S. Michel;Chairman &  Interim Chief Executive Officer;Materials;Building Materials, Glass;0;Charlotte;NC;35.2270869;-80.8431267
626;OneMain Holdings;602;3756;-3,3;183;-14,9;19433;4062;101;Jay N. Levine;President, Chief Executive Officer &  Director;Financials;Diversified Financials;0;Evansville;IN;37.9715592;-87.5710898
627;Colfax;626;3737;2,5;151,1;17,9;671;3934;143;Matthew L. Trerotola;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Annapolis Junction;MD;39.1202934;-76.7769324
628;Zebra Technologies;639;3722;4,1;17;0;4275;7412;7;Anders Gustafsson;Chairman &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;0;Lincolnshire;IL;42.1900249;-87.9084039
629;Andersons;595;3686;-6,1;42,5;266,7;2162;943;1819;Patrick E. Bowe;President, Chief Executive Officer &  Director;Food, Beverages &  Tobacco;Food Production;0;Maumee;OH;41.5628294;-83.6538244
630;TD Ameritrade Holding;674;3685;10,5;872;3,6;38627;33605;10412;Timothy D. Hockey;President, Chief Executive Officer &  Director;Financials;Securities;0;Omaha;NE;41.2565369;-95.9345034
631;Carlyle Group;869;3676;61,6;244,1;3714,1;12281;2145;16;Kewsong Lee/Glenn A. Youngkin;Co-Chief Executive Officer &  Director;Financials;Securities;0;Leavenworth;WA;47.7510741;-120.7401385
632;Hubbell;650;3669;4,7;243,1;-17;3721;6678;177;David G. Nord;Chairman, President &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;0;Shelton;CT;41.3164856;-73.0931641
633;Trinity Industries;539;3663;-20,2;702,5;104,5;9543;4921;15605;Timothy R. Wallace;Chairman, President &  Chief Executive Officer;Transportation;Transportation Equipment;0;Dallas;TX;32.7766642;-96.7969879
634;Darling Ingredients;665;3662;7,8;128,5;25,6;4958;2848;98;Randall C. Stuewe;Chairman &  Chief Executive Officer;Food, Beverages &  Tobacco;Food Production;0;Irving;TX;32.8140177;-96.9488945
635;Flowserve;589;3661;-8,3;2,7;-98;4911;5668;17;R. Scott Rowe;President, Chief Executive Officer &  Director;Industrials;Industrial Machinery;0;Irving;TX;32.8140177;-96.9488945
636;Antero Resources;;3656;109,5;615,1;0;15262;6283;593;Paul M. Rady;Chairman &  Chief Executive Officer;Energy;Mining, Crude-Oil Production;0;Denver;CO;39.7392358;-104.990251
637;Skyworks Solutions;680;3651;11;1010,2;1,5;4574;18264;84;Liam K. Griffin;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Woburn;MA;42.4792618;-71.1522765
638;Landstar System;699;3649;15,1;177,1;28,9;1353;4604;1273;James B. Gattoni;President, Chief Executive Officer &  Director;Transportation;Trucking, Truck Leasing;0;Jacksonville;FL;30.3321838;-81.655651
639;Buckeye Partners;685;3648;12,3;478,8;-10,6;10305;5494;187;Clark C. Smith;Chairman, President &  Chief Executive Officer;Energy;Pipelines;0;Houston;TX;29.7604267;-95.3698028
640;MRC Global;726;3646;19,9;50;0;234;1517;358;Andrew R. Lane;President, Chief Executive Officer &  Director;Energy;Oil and Gas Equipment, Services;0;Houston;TX;29.7604267;-95.3698028
641;CME Group;633;3645;1,4;4063,4;164,9;75791;55058;283;Terrence A. Duffy;Chairman &  Chief Executive Officer;Financials;Securities;0;Chicago;IL;41.8781136;-87.6297982
642;Greif;676;3638;9,5;118,6;58,3;3232;2636;13;Peter G. Watson;President, Chief Executive Officer &  Director;Materials;Packaging, Containers;0;Delaware;OH;40.2986724;-83.067965
643;Nexeo Solutions;;3637;241,3;14,4;0;2254;960;264;David A. Bradley;President, Chief Executive Officer &  Director;Wholesalers;Wholesalers: Diversified;0;The Woodlands;TX;30.1658207;-95.4612625
644;Cooper-Standard Holdings;655;3618;4,2;135,3;-2,7;2726;22;32;Jeffrey S. Edwards;Chairman &  Chief Executive Officer;Motor Vehicles &  Parts;Motor Vehicles and Parts;0;Novi;MI;42.48059;-83.4754913
645;Urban Outfitters;645;3616;2;108,3;-50,4;1953;4001;1633;Richard A. Hayne;Chairman &  Chief Executive Officer;Retailing;Specialty Retailers: Apparel;0;Philadelphia;PA;39.9525839;-75.1652215
646;LSC Communications;625;3603;-1,4;-57;-153,8;2014;608;24;Thomas J. Quinlan III;Chairman, President &  Chief Executive Officer;Media;Publishing, Printing;0;Chicago;IL;41.8781136;-87.6297982
647;Sabre;668;3599;6,7;242,5;0;5649;5887;9;Sean E. Menke;President, Chief Executive Officer &  Director;Technology;Internet Services and Retailing;0;Southlake;TX;32.9412363;-97.1341783
648;Green Plains;662;3596;5,4;61,1;472,6;2785;688;1427;Todd A. Becker;President, Chief Executive Officer &  Director;Energy;Energy;0;Omaha;NE;41.2565369;-95.9345034
649;Hexion;659;3591;4,5;-234;0;2097;0;43;Craig A. Rogerson;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Columbus;OH;39.9611755;-82.9987942
650;Stericycle;642;3581;0,5;42,4;-79,5;6988;5007;232;Charles A. Alutto;President, Chief Executive Officer &  Director;Business Services;Waste Management;0;Lake Forest;IL;42.2586342;-87.840625
651;Warner Music Group;686;3576;10,2;143;472;5718;0;452;Stephen F. Cooper;President, Chief Executive Officer &  Director;Media;Entertainment;0;New York;NY;40.7127753;-74.0059728
652;Ventas;658;3574;3,8;1356,5;108,9;23955;17643;493;Debra A. Cafaro;Chairman &  Chief Executive Officer;Financials;Real estate;0;Chicago;IL;41.8781136;-87.6297982
653;ScanSource;647;3568;0,8;69,2;8,8;1718;909;2;Michael L. Baur;Chief Executive Officer &  Director;Wholesalers;Wholesalers: Electronics and Office Equipment;0;Greenville;SC;34.8526176;-82.3940104
654;Pinnacle West Capital;651;3565;1,9;488,5;10,5;17019;8932;6292;Donald E. Brandt;Chairman, President &  Chief Executive Officer;Energy;Utilities: Gas and Electric;0;Phoenix;AZ;33.4483771;-112.0740373
655;Scripps Networks Interactive;664;3562;4,7;623,9;-7,4;6522;0;36;David M. Zaslav;CEO-Discovery;Media;Entertainment;0;Knoxville;TN;35.9606384;-83.9207392
656;Alexion Pharmaceuticals;714;3551;15,1;443,3;11;13583;24784;2525;Ludwig N. Hantson;Chairman &  Chief Executive Officer;Health Care;Pharmaceuticals;0;New Haven;CT;41.308274;-72.9278835
657;Pitney Bowes;663;355;4,2;261,3;181,6;6679;2038;147;Marc B. Lautenbach;President, Chief Executive Officer &  Director;Technology;Computers, Office Equipment;0;Stamford;CT;41.0534302;-73.5387341
658;CIT Group;550;3545;-20,4;468,2;0;49279;6649;4167;Ellen R. Alemany;Chairwoman &  CEO;Financials;Commercial Banks;0;New York;NY;40.7127753;-74.0059728
659;Country Financial;657;3542;2,4;187,3;39;14664;0;3834;Kurt F. Bock;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);0;Bloomington;IL;40.4842027;-88.9936873
660;CUNA Mutual Group;683;3541;8,2;303,2;36,2;20595;0;33;Robert N. Trunzo;President, Chief Executive Officer &  Director;Financials;Insurance: Life, Health (stock);0;Madison;WI;43.0730517;-89.4012302
661;Triumph Group;601;3533;-9,1;-43;0;4415;1252;14309;Daniel J. Crowley;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;0;Berwyn;PA;40.045824;-75.4395931
662;TransDigm Group;698;3529;11,3;596,9;1,8;9976;16021;92;Kevin M. Stein;President, Chief Executive Officer &  Director;Aerospace &  Defense;Aerospace and Defense;0;Cleveland;OH;41.49932;-81.6943605
663;Allegheny Technologies;707;3525;12,5;-91,9;0;5185;2974;86;Richard J. Harshman;Chairman, President &  Chief Executive Officer;Materials;Metals;0;Pittsburgh;PA;40.4406248;-79.9958864
664;Resolute Forest Products;646;3513;-0,9;-84;0;4147;749;77;Yves Laflamme;President, Chief Executive Officer &  Director;Materials;Forest and Paper Products;0;Catawba;SC;34.8529233;-80.9111862
665;Acuity Brands;679;3505;6,5;321,7;10,6;29;5868;125;Vernon J. Nagel;Chairman, President &  Chief Executive Officer;Industrials;Electronics, Electrical Equip.;0;Atlanta;GA;33.7489954;-84.3879824
666;Abercrombie & Fitch;675;3493;5;7,1;79,3;2326;1651;225;Fran Horowitz-Bonadies;Chief Executive Officer &  Director;Retailing;Specialty Retailers: Apparel;0;New Albany;OH;40.0811745;-82.8087864
667;KLA-Tencor;733;348;16,6;926,1;31,5;5532;17073;599;Richard P. Wallace;President, Chief Executive Officer &  Director;Technology;Semiconductors and Other Electronic Components;0;Milpitas;CA;37.4323341;-121.8995741
668;Weis Markets;706;3467;10,5;98,4;12,9;1442;1102;23;Jonathan H. Weis;Chairman, President &  Chief Executive Officer;Food &  Drug Stores;Food and Drug Stores;0;Sunbury;PA;40.862585;-76.7944104
669;Puget Energy;700;346;9,4;175,2;-44;13691;0;314;Kimberly J. Harris;President, Chief Executive Officer &  Director;Energy;Utilities: Gas and Electric;0;Bellevue;WA;47.6101497;-122.2015159
670;Mednax;697;3458;8,6;320,4;-1,4;5867;5251;14;Roger J. Medel;Chief Executive Officer &  Director;Health Care;Health Care: Pharmacy and Other Services;0;Fort Lauderdale;FL;26.1669711;-80.256595
671;Kar Auction Services;702;3458;9,8;362;62,8;6984;7285;15488;James P. Hallett;Chairman &  Chief Executive Officer;Wholesalers;Wholesalers: Diversified;0;Carmel;IN;39.978371;-86.1180435
672;PolyOne;673;3452;3,4;-57,7;-134,9;2705;34;64;Robert M. Patterson;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Avon Lake;OH;41.5053178;-82.0282001
673;FMC;681;3442;4,8;535,8;156,2;9206;10297;7;Pierre R. Brondeau;Chairman, President &  Chief Executive Officer;Chemicals;Chemicals;0;Philadelphia;PA;39.9525839;-75.1652215
674;Edwards Lifesciences;734;3435;15,9;583,6;2,5;5696;29372;122;Michael A. Mussallem;Chairman &  Chief Executive Officer;Health Care;Medical Products and Equipment;0;Irvine;CA;33.6845673;-117.8265049
675;Microchip Technology;897;3426;57,6;164,6;-49,2;7687;2141;12656;Steve Sanghi;Chairman &  Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;0;Chandler;AZ;33.3061605;-111.8412502
